pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,image.started,fixation.stopped,image.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/Bnw1.jpeg,0,0,0,0,0.12708724988624454,,0.08305895898956805,0.12708724988624454,0.4969314589397982,0.6241607089759782,1.9942295419750735,1.9853011668892577,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,1,1,1,1.9942295419750735,,1.9864240839378908,1.9942295419750735,2.4890959169715643,2.4890959169715643,3.984924624906853,3.975031499983743,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,2,2,2,3.984924624906853,,3.9756522089010105,3.991710416972637,4.490004958934151,4.485025833942927,5.985053499927744,5.974697791971266,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,3,3,3,5.985053499927744,,5.975393583998084,5.99309862498194,6.489233833970502,6.489233833970502,7.985020583961159,7.975331874913536,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,4,4,4,7.985020583961159,,7.975850749993697,7.991879416978918,8.489790958934464,8.485292749945074,9.98506345890928,9.974689374910668,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,5,5,5,9.98506345890928,,9.975240833940916,9.992300874902867,10.489778583985753,10.489778583985753,,12.027421541977674,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,6,6,6,12.033634791965596,,12.027757249888964,12.033634791965596,12.491890624980442,12.523398916935548,13.994732124963775,13.986695708939806,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,7,7,7,13.994732124963775,,13.987227374920622,13.994732124963775,14.489877708954737,14.489877708954737,15.984770499984734,15.974710249924101,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,8,8,8,15.984770499984734,,15.9752540839836,15.991495374939404,16.490312583977357,16.48556070891209,17.985304583911784,17.97484074998647,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
None,0,9,9,9,17.985304583911784,,17.97540058393497,17.99259620893281,18.49055970890913,18.485560541972518,19.98459324997384,19.97515824995935,733538,001,2023-11-27_15h19.39.870,experiment,2023.2.2,None,2023-11-27 15h19.48.174713 +0530,
,,,,,19.98459324997384,,19.97597558388952,19.991322249989025,20.490446666954085,20.485742624965496,,,,,,,,,,
