pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,image.started,fixation.stopped,image.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Bnw8.JPG,0,0,0,7,0.09802054101601243,,0.056867208098992705,0.09802054101601243,0.49792316602542996,0.5934126250213012,2.003027666010894,1.985819625086151,835465,001,2023-11-27_15h29.25.589,experiment,2023.2.2,None,2023-11-27 15h29.34.207632 +0530,
Col8.JPG,0,1,1,18,2.003027666010894,,1.9861580410506576,2.003027666010894,2.4935443330323324,2.500411791028455,4.013029125053436,3.9777695829980075,835465,001,2023-11-27_15h29.25.589,experiment,2023.2.2,None,2023-11-27 15h29.34.207632 +0530,
Bnw6.JPG,0,2,2,5,4.013029125053436,,3.9783339160494506,4.013029125053436,4.4937340000178665,4.510325208073482,6.016840666066855,5.977662375080399,835465,001,2023-11-27_15h29.25.589,experiment,2023.2.2,None,2023-11-27 15h29.34.207632 +0530,
Bnw4.JPG,0,3,3,3,6.016840666066855,,5.978172083036043,6.016840666066855,6.493775500101037,6.509957666043192,,7.977971916086972,835465,001,2023-11-27_15h29.25.589,experiment,2023.2.2,None,2023-11-27 15h29.34.207632 +0530,
,,,,,,,7.978648791089654,,,,,,,,,,,,,
