4.0041 	WARNING 	t of last frame was 21.42ms (=1/46)
4.0041 	EXP 	image: autoDraw = False
4.0041 	EXP 	fixation: autoDraw = False
4.0041 	EXP 	image: autoDraw = False
4.0041 	EXP 	image: image = 'Bnw2.JPG'
4.0041 	EXP 	fixation: autoDraw = True
4.4922 	EXP 	image: autoDraw = True
4.4990 	EXP 	fixation: autoDraw = False
5.9841 	EXP 	New trial (rep=0, index=3): {'pic': 'Col1.JPG', 'correct_response': 'c', 'shown_before': 1}
6.0182 	WARNING 	t of last frame was 35.15ms (=1/28)
6.0182 	EXP 	image: autoDraw = False
6.0182 	EXP 	fixation: autoDraw = False
6.0182 	EXP 	image: autoDraw = False
6.0182 	EXP 	image: image = 'Col1.JPG'
6.0182 	EXP 	fixation: autoDraw = True
6.4919 	EXP 	image: autoDraw = True
6.5161 	EXP 	fixation: autoDraw = False
7.9835 	EXP 	New trial (rep=0, index=4): {'pic': 'Col5.JPG', 'correct_response': 'c', 'shown_before': 1}
8.0175 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
8.0174 	EXP 	image: autoDraw = False
8.0174 	EXP 	fixation: autoDraw = False
8.0174 	EXP 	image: autoDraw = False
8.0174 	EXP 	image: image = 'Col5.JPG'
8.0174 	EXP 	fixation: autoDraw = True
8.4922 	EXP 	image: autoDraw = True
8.5072 	EXP 	fixation: autoDraw = False
9.9841 	EXP 	New trial (rep=0, index=5): {'pic': 'Col6.JPG', 'correct_response': 'c', 'shown_before': 1}
10.0023 	EXP 	image: autoDraw = False
10.0023 	EXP 	fixation: autoDraw = False
10.0023 	EXP 	image: autoDraw = False
10.0023 	EXP 	image: image = 'Col6.JPG'
10.0023 	EXP 	fixation: autoDraw = True
10.4929 	EXP 	image: autoDraw = True
10.4997 	EXP 	fixation: autoDraw = False
11.9769 	EXP 	New trial (rep=0, index=6): {'pic': 'Bnw4.JPG', 'correct_response': 'b', 'shown_before': 1}
12.0118 	EXP 	image: autoDraw = False
12.0118 	EXP 	fixation: autoDraw = False
12.0118 	EXP 	image: autoDraw = False
12.0118 	EXP 	image: image = 'Bnw4.JPG'
12.0118 	EXP 	fixation: autoDraw = True
12.4921 	EXP 	image: autoDraw = True
12.5072 	EXP 	fixation: autoDraw = False
13.9841 	EXP 	New trial (rep=0, index=7): {'pic': 'Col4.JPG', 'correct_response': 'c', 'shown_before': 1}
14.0176 	EXP 	image: autoDraw = False
