2.5213 	EXP 	fixation: autoDraw = False
3.9885 	EXP 	New trial (rep=0, index=2): {'pic': None, 'correct_response': None, 'shown_before': None}
3.9981 	EXP 	image: autoDraw = False
3.9981 	EXP 	fixation: autoDraw = False
3.9981 	EXP 	image: autoDraw = False
3.9981 	EXP 	image: image = None
3.9981 	EXP 	fixation: autoDraw = True
4.4863 	EXP 	fixation: autoDraw = False
4.4987 	EXP 	image: autoDraw = True
5.9833 	EXP 	New trial (rep=0, index=3): {'pic': 'Col1.JPG', 'correct_response': 'c', 'shown_before': 1}
6.0211 	EXP 	image: autoDraw = False
6.0211 	EXP 	fixation: autoDraw = False
6.0211 	EXP 	image: autoDraw = False
6.0211 	EXP 	image: image = 'Col1.JPG'
6.0211 	EXP 	fixation: autoDraw = True
6.4974 	EXP 	image: autoDraw = True
6.5147 	EXP 	fixation: autoDraw = False
7.9817 	EXP 	New trial (rep=0, index=4): {'pic': None, 'correct_response': None, 'shown_before': None}
7.9872 	EXP 	image: autoDraw = False
7.9872 	EXP 	fixation: autoDraw = False
7.9872 	EXP 	image: autoDraw = False
7.9872 	EXP 	image: image = None
7.9983 	EXP 	fixation: autoDraw = True
8.4864 	EXP 	fixation: autoDraw = False
8.4986 	EXP 	image: autoDraw = True
9.9834 	EXP 	New trial (rep=0, index=5): {'pic': None, 'correct_response': None, 'shown_before': None}
9.9899 	EXP 	image: autoDraw = False
9.9899 	EXP 	fixation: autoDraw = False
9.9899 	EXP 	image: autoDraw = False
9.9899 	EXP 	image: image = None
9.9974 	EXP 	fixation: autoDraw = True
10.4870 	EXP 	fixation: autoDraw = False
10.4986 	EXP 	image: autoDraw = True
11.9854 	EXP 	New trial (rep=0, index=6): {'pic': 'Col4.JPG', 'correct_response': 'c', 'shown_before': 1}
12.0290 	EXP 	image: autoDraw = False
12.0290 	EXP 	fixation: autoDraw = False
12.0290 	EXP 	image: autoDraw = False
12.0290 	EXP 	image: image = 'Col4.JPG'
12.0290 	EXP 	fixation: autoDraw = True
12.4981 	EXP 	image: autoDraw = True
12.5216 	EXP 	fixation: autoDraw = False
13.9829 	EXP 	New trial (rep=0, index=7): {'pic': 'Col3.JPG', 'correct_response': 'c', 'shown_before': 1}
14.0079 	EXP 	image: autoDraw = False
14.0079 	EXP 	fixation: autoDraw = False
14.0079 	EXP 	image: autoDraw = False
14.0079 	EXP 	image: image = 'Col3.JPG'
14.0079 	EXP 	fixation: autoDraw = True
14.4974 	EXP 	image: autoDraw = True
14.5044 	EXP 	fixation: autoDraw = False
15.9840 	EXP 	New trial (rep=0, index=8): {'pic': 'Bnw3 .JPG', 'correct_response': 'b', 'shown_before': 1}
15.9979 	EXP 	image: autoDraw = False
15.9979 	EXP 	fixation: autoDraw = False
15.9979 	EXP 	image: autoDraw = False
15.9979 	EXP 	image: image = 'Bnw3 .JPG'
16.0030 	EXP 	fixation: autoDraw = True
16.4986 	EXP 	fixation: autoDraw = False
16.4986 	EXP 	image: autoDraw = True
17.9830 	EXP 	New trial (rep=0, index=9): {'pic': None, 'correct_response': None, 'shown_before': None}
17.9892 	EXP 	image: autoDraw = False
17.9892 	EXP 	fixation: autoDraw = False
17.9892 	EXP 	image: autoDraw = False
17.9892 	EXP 	image: image = None
17.9983 	EXP 	fixation: autoDraw = True
18.4874 	EXP 	fixation: autoDraw = False
18.4989 	EXP 	image: autoDraw = True
19.9836 	EXP 	New trial (rep=0, index=10): {'pic': 'Col5.JPG', 'correct_response': 'c', 'shown_before': 1}
20.0256 	EXP 	image: autoDraw = False
20.0256 	EXP 	fixation: autoDraw = False
20.0256 	EXP 	image: autoDraw = False
20.0256 	EXP 	image: image = 'Col5.JPG'
20.0256 	EXP 	fixation: autoDraw = True
20.4983 	EXP 	image: autoDraw = True
20.5214 	EXP 	fixation: autoDraw = False
21.9834 	EXP 	New trial (rep=0, index=11): {'pic': None, 'correct_response': None, 'shown_before': None}
21.9895 	EXP 	image: autoDraw = False
21.9895 	EXP 	fixation: autoDraw = False
21.9895 	EXP 	image: autoDraw = False
21.9895 	EXP 	image: image = None
21.9979 	EXP 	fixation: autoDraw = True
22.4871 	EXP 	fixation: autoDraw = False
22.4989 	EXP 	image: autoDraw = True
23.9836 	EXP 	New trial (rep=0, index=12): {'pic': None, 'correct_response': None, 'shown_before': None}
23.9895 	EXP 	image: autoDraw = False
23.9895 	EXP 	fixation: autoDraw = False
23.9895 	EXP 	image: autoDraw = False
23.9895 	EXP 	image: image = None
23.9984 	EXP 	fixation: autoDraw = True
24.4868 	EXP 	fixation: autoDraw = False
24.4994 	EXP 	image: autoDraw = True
25.9839 	EXP 	New trial (rep=0, index=13): {'pic': 'Bnw2.JPG', 'correct_response': 'b', 'shown_before': 1}
26.0079 	EXP 	image: autoDraw = False
26.0079 	EXP 	fixation: autoDraw = False
26.0079 	EXP 	image: autoDraw = False
26.0079 	EXP 	image: image = 'Bnw2.JPG'
26.0079 	EXP 	fixation: autoDraw = True
26.4980 	EXP 	image: autoDraw = True
26.5049 	EXP 	fixation: autoDraw = False
27.9833 	EXP 	New trial (rep=0, index=14): {'pic': None, 'correct_response': None, 'shown_before': None}
27.9901 	EXP 	image: autoDraw = False
27.9901 	EXP 	fixation: autoDraw = False
27.9901 	EXP 	image: autoDraw = False
27.9901 	EXP 	image: image = None
27.9979 	EXP 	fixation: autoDraw = True
28.4873 	EXP 	fixation: autoDraw = False
28.4990 	EXP 	image: autoDraw = True
29.9841 	EXP 	New trial (rep=0, index=15): {'pic': 'Col6.JPG', 'correct_response': 'c', 'shown_before': 1}
30.0037 	EXP 	image: autoDraw = False
30.0037 	EXP 	fixation: autoDraw = False
30.0037 	EXP 	image: autoDraw = False
30.0037 	EXP 	image: image = 'Col6.JPG'
30.0156 	EXP 	fixation: autoDraw = True
30.4985 	EXP 	image: autoDraw = True
