pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,image.started,fixation.stopped,image.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,0,0,0,22,0.09930029208771884,,0.07781170809175819,0.09930029208771884,0.4892740830546245,0.5873104170896113,1.9832360420841724,1.973340917029418,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,1,1,5,1.9832360420841724,,1.9739688750123605,1.9906385000795126,2.4878598750801757,2.4878598750801757,3.9833921670215204,3.971427708049305,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,2,2,20,3.9833921670215204,,3.972114875097759,3.9905836670659482,4.487800708040595,4.487800708040595,5.982613292057067,5.973052250104956,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,3,3,9,5.982613292057067,,5.975088250008412,5.999379500048235,6.488204458029941,6.488204458029941,7.983323874999769,7.972792375017889,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,4,4,6,7.983323874999769,,7.974560375092551,7.992095375084318,8.488506875000894,8.488506875000894,9.983249625074677,9.97332912508864,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,5,5,15,9.983249625074677,,9.973904125043191,9.990282832994126,10.48800387501251,10.48351166700013,,12.01539587508887,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
images/Bnw1.jpeg,0,6,6,0,12.06650158308912,,12.016241833101958,12.06650158308912,12.516079958062619,12.555340167018585,14.009611042100005,14.001087500015274,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,7,7,21,14.009611042100005,,14.001807125052437,14.009611042100005,14.48956779204309,14.504407458007336,15.983508000033908,15.97301266703289,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
None,0,8,8,19,15.983508000033908,,15.973648583050817,15.990408292040229,16.488304208032787,16.48370075004641,17.98337175010238,17.9734802080784,706012,001,2023-11-27_15h17.08.792,experiment,2023.2.2,None,2023-11-27 15h17.17.040913 +0530,
,,,,,17.98337175010238,,17.974154166993685,17.990487208007835,18.48926687508356,18.483679083059542,,,,,,,,,,
